"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"","high","44.0","13.0","10.0","14.0","2.5","0.0","361.0","5080.0","173.0"
"","low","41.0","11.0","6.8","10.5","1.0","0.0","327.0","5702.5","83.0"
"Dallas Cowboys","","42.1","10.7","8.4","13.1","1.9","0.0","437.6","6052.1","91.6"
"","high","43.8","11.2","11.0","15.0","2.4","0.0","495.0","5884.2","100.2"
"","low","39.4","10.0","7.0","11.2","1.0","0.0","387.7","6220.0","78.7"
"New York Giants","","40.9","10.5","8.8","12.4","2.0","0.0","418.7","6054.4","91.3"
"","high","41.3","11.4","11.0","15.0","2.6","0.0","466.0","5944.9","132.9"
"","low","40.3","10.0","6.4","9.8","1.0","0.0","390.0","6164.0","70.1"
"Miami Dolphins","","42.3","10.2","9.1","13.8","1.6","0.0","450.1","6079.0","90.5"
"","high","52.3","11.5","13.0","18.0","2.7","0.0","472.0","5798.0","148.5"
"","low","37.0","9.0","6.2","9.6","0.0","0.0","417.0","6360.1","44.5"
"Las Vegas Raiders","","40.9","10.2","8.7","14.0","1.8","0.5","440.0","5752.9","90.5"
"","high","47.2","11.0","13.0","17.0","2.3","1.0","470.0","5375.0","143.0"
"","low","37.0","9.0","6.0","11.1","1.0","0.0","419.1","6130.8","53.9"
"Arizona Cardinals","","35.8","11.8","9.3","14.0","1.9","0.5","465.9","6151.2","90.1"
"","high","36.0","12.4","12.0","16.0","2.4","1.0","516.0","6018.0","97.8"
"","low","35.4","11.0","7.8","12.1","1.0","0.0","427.0","6284.4","50.7"
"San Francisco 49ers","","35.9","11.1","9.3","15.3","1.9","0.0","394.4","5641.0","88.1"
"","high","38.8","11.3","12.0","17.0","2.6","0.0","405.0","5407.0","127.6"
"","low","32.0","11.0","7.0","13.6","1.0","0.0","383.1","5875.1","79.0"
"Carolina Panthers","","38.2","11.6","7.1","10.6","1.8","0.0","404.1","5815.6","86.5"
"","high","42.2","13.0","9.0","13.0","2.4","0.0","421.0","5669.0","134.6"
"","low","35.0","10.8","5.4","8.3","1.0","0.0","386.2","5962.2","62.3"
"New York Jets","","37.4","10.0","7.7","12.2","1.9","0.5","432.5","5654.1","85.0"
"","high","39.5","11.0","8.1","12.4","3.0","1.0","491.0","5400.0","91.6"
"","low","35.6","8.0","7.0","12.0","0.0","0.0","371.4","5908.1","75.0"
""
""
