"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","257.0","1055.0","11.0","38.0","288.0","3.0","1.4","236.5"
"","low","224.0","890.0","6.7","16.0","128.0","1.4","3.0","193.2"
"Jaylen Warren","PIT","188.0","826.8","5.2","42.4","321.7","1.8","0.9","197.2"
"","high","194.0","854.0","6.0","46.1","329.0","2.0","0.9","223.2"
"","low","180.1","791.4","4.5","40.0","316.0","1.5","1.0","185.4"
"David Montgomery","HOU","231.5","959.7","7.7","30.8","228.7","0.5","1.5","195.9"
"","high","263.0","1012.0","9.0","34.0","244.0","1.0","1.0","213.7"
"","low","214.6","932.0","7.0","27.0","211.0","0.0","2.0","185.8"
"TreVeyon Henderson","NE","187.1","858.9","6.9","36.0","249.1","1.1","0.8","193.3"
"","high","190.2","884.0","7.0","38.9","277.0","1.4","0.7","215.3"
"","low","182.0","836.7","6.7","33.0","202.0","1.0","1.0","175.0"
"Jadarian Price","SEA","215.5","913.2","8.0","26.0","220.1","1.1","2.0","189.6"
"","high","229.0","980.0","9.0","31.0","226.0","1.3","1.0","195.8"
"","low","195.0","837.0","7.0","20.0","212.4","1.0","3.0","184.0"
"Tony Pollard","TEN","236.2","1033.7","5.5","31.9","208.2","0.5","2.1","187.8"
"","high","242.0","1065.0","6.0","34.0","227.0","1.0","1.2","213.1"
"","low","227.0","992.0","5.0","29.7","182.6","0.0","3.0","164.9"
"Rhamondre Stevenson","NE","168.6","723.1","6.6","37.9","318.9","1.7","2.1","187.5"
"","high","173.7","740.3","7.0","42.6","349.6","2.1","1.2","200.6"
"","low","163.0","694.0","6.0","33.0","282.0","1.0","3.0","170.9"
"Rico Dowdle","PIT","200.0","869.8","5.8","31.8","222.3","1.0","1.0","180.2"
"","high","223.0","975.4","7.0","36.0","253.0","1.1","1.0","188.6"
"","low","186.0","801.0","5.0","29.3","203.0","1.0","1.0","168.8"
"Chuba Hubbard","CAR","186.5","761.6","5.0","36.1","256.0","1.8","0.9","176.5"
"","high","217.0","867.0","6.0","41.3","300.1","3.0","0.8","207.6"
"","low","166.0","708.7","3.9","33.0","210.0","1.0","1.0","158.1"
"J.K. Dobbins","DEN","219.6","1027.5","6.9","19.5","104.5","0.6","0.7","176.1"
"","high","248.0","1136.0","7.0","21.4","132.4","1.0","0.5","184.7"
"","low","204.8","958.4","6.6","16.0","77.0","0.0","1.0","166.5"
"Kenny Gainwell","TB","113.6","497.8","3.9","49.7","352.3","2.0","0.9","168.2"
"","high","123.0","533.0","4.6","60.0","440.0","2.0","0.8","175.4"
"","low","100.0","439.0","3.0","37.0","275.0","2.0","1.0","164.7"
"RJ Harvey","DEN","115.9","439.3","4.3","45.9","341.6","3.2","0.7","167.4"
"","high","149.0","529.0","6.0","48.7","366.9","4.0","0.4","189.8"
"","low","77.8","315.9","2.9","44.0","326.0","2.6","1.0","146.7"
"Rachaad White","WAS","140.3","619.0","5.4","36.5","251.3","1.6","0.8","163.6"
"","high","145.0","710.0","6.0","44.0","320.0","2.0","0.6","190.4"
"","low","135.0","567.9","5.0","25.0","167.0","1.0","1.0","146.5"
"Aaron Jones Sr.","MIN","149.9","638.1","3.1","40.7","300.7","1.7","1.0","161.1"
"","high","157.0","660.0","3.2","47.0","344.2","2.1","1.0","170.7"
"","low","143.0","602.0","3.0","37.0","268.0","1.0","1.0","145.7"
"Jonathon Brooks","CAR","179.7","743.2","5.1","27.9","211.6","1.1","1.5","157.6"
"","high","213.0","874.0","7.0","32.7","246.7","1.2","0.9","166.0"
"","low","133.0","546.0","4.0","24.0","189.0","1.0","2.0","144.9"
"Kyle Monangai","CHI","191.3","817.3","5.2","22.9","195.0","0.4","0.7","156.2"
"","high","206.0","852.0","6.5","25.7","215.0","1.3","0.4","173.4"
"","low","176.0","775.0","4.0","20.0","162.0","0.0","1.0","141.9"
