"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Malachi Fields","NYG","23.0","279.5","1.5","0.0","0.0","0.0","0.2","59.7"
"","high","23.0","279.5","1.5","0.0","0.0","0.0","0.2","59.9"
"","low","23.0","279.5","1.5","0.0","0.0","0.0","0.2","59.9"
"Calvin Austin III","NYG","19.6","261.7","2.2","0.0","0.0","0.0","0.0","58.8"
"","high","33.0","449.0","4.0","0.0","0.0","0.0","0.0","79.6"
"","low","6.1","74.3","0.4","0.0","0.0","0.0","0.1","29.5"
"Jahdae Walker","CHI","17.6","233.3","2.7","0.5","3.5","0.0","0.0","57.2"
"","high","32.0","431.0","5.0","1.0","7.0","0.0","0.0","82.6"
"","low","3.2","35.5","0.3","0.0","0.0","0.0","0.0","23.1"
"Tutu Atwell","MIA","21.8","311.6","0.5","2.2","11.4","0.1","0.2","57.0"
"","high","21.8","311.6","0.5","2.2","11.4","0.1","0.2","57.0"
"","low","21.8","311.6","0.5","2.2","11.4","0.1","0.2","57.0"
"Cedric Tillman","CLE","18.5","235.6","2.1","0.0","-0.5","0.0","0.0","54.6"
"","high","34.0","438.0","4.0","0.0","0.0","0.0","0.0","77.5"
"","low","3.0","33.2","0.2","0.0","-1.0","0.0","0.0","22.9"
"Demarcus Robinson","SF","17.6","253.0","1.7","0.5","2.5","0.0","0.0","53.1"
"","high","32.0","462.0","3.0","1.0","5.0","0.0","0.0","73.6"
"","low","3.3","44.1","0.3","0.0","0.0","0.0","0.0","23.9"
"Kendrick Bourne","ARI","22.8","239.2","0.7","0.0","0.0","0.0","0.2","50.2"
"","high","22.8","239.2","0.7","0.0","0.0","0.0","0.2","50.3"
"","low","22.8","239.2","0.7","0.0","0.0","0.0","0.2","50.3"
"Luke McCaffrey","WAS","14.4","221.1","2.3","0.0","0.0","0.0","0.0","49.9"
"","high","22.0","362.0","4.0","0.0","0.0","0.0","0.0","67.4"
"","low","6.7","80.3","0.5","0.0","0.0","0.0","0.1","26.1"
"Theo Wease Jr.","MIA","16.0","233.0","1.3","0.0","0.0","0.0","0.0","47.1"
"","high","16.0","233.0","1.3","0.0","0.0","0.0","0.0","47.1"
"","low","16.0","233.0","1.3","0.0","0.0","0.0","0.0","47.1"
"Dyami Brown","WAS","15.9","216.9","1.6","0.0","0.0","0.0","0.2","46.7"
"","high","15.9","216.9","1.6","0.0","0.0","0.0","0.2","47.0"
"","low","15.9","216.9","1.6","0.0","0.0","0.0","0.2","47.0"
"Kalif Raymond","CHI","19.2","186.9","0.9","4.6","27.2","0.2","0.2","46.4"
"","high","19.2","186.9","0.9","4.6","27.2","0.2","0.2","48.0"
"","low","19.2","186.9","0.9","4.6","27.2","0.2","0.2","48.0"
"Treylon Burks","WAS","15.0","217.8","1.4","0.0","0.0","0.0","0.1","44.7"
"","high","15.0","217.8","1.4","0.0","0.0","0.0","0.1","45.0"
"","low","15.0","217.8","1.4","0.0","0.0","0.0","0.1","45.0"
"Devontez Walker","BAL","14.5","208.8","1.5","0.0","0.0","0.0","0.2","43.8"
"","high","14.5","208.8","1.5","0.0","0.0","0.0","0.2","44.0"
"","low","14.5","208.8","1.5","0.0","0.0","0.0","0.2","44.0"
"Cyrus Allen","KC","16.2","203.2","1.3","0.0","0.0","0.0","0.2","43.8"
"","high","16.2","203.2","1.3","0.0","0.0","0.0","0.2","44.0"
"","low","16.2","203.2","1.3","0.0","0.0","0.0","0.2","44.0"
"Isaiah Williams","NYJ","18.8","185.9","0.7","2.2","12.7","0.1","0.2","43.1"
"","high","18.8","185.9","0.7","2.2","12.7","0.1","0.2","46.8"
"","low","18.8","185.9","0.7","2.2","12.7","0.1","0.2","46.8"
"Bryce Lance","NO","15.1","193.3","0.9","0.0","0.0","0.0","0.2","39.5"
"","high","15.1","193.3","0.9","0.0","0.0","0.0","0.2","39.5"
"","low","15.1","193.3","0.9","0.0","0.0","0.0","0.2","39.5"
"Colbie Young","CIN","14.1","176.3","1.3","0.0","0.0","0.0","0.1","39.5"
"","high","14.1","176.3","1.3","0.0","0.0","0.0","0.1","39.6"
"","low","14.1","176.3","1.3","0.0","0.0","0.0","0.1","39.6"
"Zavion Thomas","CHI","12.5","153.5","1.2","0.0","0.0","0.0","0.1","34.9"
"","high","12.5","153.5","1.2","0.0","0.0","0.0","0.1","36.2"
"","low","12.5","153.5","1.2","0.0","0.0","0.0","0.1","36.2"
"Jaylin Lane","WAS","12.4","159.5","1.1","0.0","0.0","0.0","0.1","34.7"
"","high","12.4","159.5","1.1","0.0","0.0","0.0","0.1","37.3"
"","low","12.4","159.5","1.1","0.0","0.0","0.0","0.1","37.3"
"Xavier Hutchinson","HOU","12.5","152.3","0.7","2.1","12.4","0.1","0.1","33.6"
"","high","12.5","152.3","0.7","2.1","12.4","0.1","0.1","33.7"
"","low","12.5","152.3","0.7","2.1","12.4","0.1","0.1","33.7"
"Elijah Sarratt","BAL","11.1","165.8","1.0","0.0","0.0","0.0","0.1","33.6"
"","high","11.1","165.8","1.0","0.0","0.0","0.0","0.1","33.6"
"","low","11.1","165.8","1.0","0.0","0.0","0.0","0.1","33.6"
"Kevin Coleman Jr.","MIA","13.5","170.2","0.4","0.0","0.0","0.0","0.1","32.8"
"","high","13.5","170.2","0.4","0.0","0.0","0.0","0.1","32.9"
"","low","13.5","170.2","0.4","0.0","0.0","0.0","0.1","32.9"
"Jordan Whittington","LAR","11.3","128.2","0.9","2.3","12.1","0.1","0.1","31.2"
"","high","11.3","128.2","0.9","2.3","12.1","0.1","0.1","31.7"
"","low","11.3","128.2","0.9","2.3","12.1","0.1","0.1","31.7"
"Isaiah Bond","CLE","9.9","130.3","0.8","4.3","23.6","0.1","0.1","30.4"
"","high","9.9","130.3","0.8","4.3","23.6","0.1","0.1","30.6"
"","low","9.9","130.3","0.8","4.3","23.6","0.1","0.1","30.6"
"Konata Mumpfield","LAR","9.9","126.7","1.1","0.0","0.0","0.0","0.1","29.2"
"","high","9.9","126.7","1.1","0.0","0.0","0.0","0.1","29.2"
"","low","9.9","126.7","1.1","0.0","0.0","0.0","0.1","29.2"
"Roman Wilson","PIT","11.8","135.1","0.6","0.0","0.0","0.0","0.1","28.8"
"","high","11.8","135.1","0.6","0.0","0.0","0.0","0.1","28.9"
"","low","11.8","135.1","0.6","0.0","0.0","0.0","0.1","28.9"
"Skyler Bell","BUF","10.1","136.5","0.8","0.0","0.0","0.0","0.1","28.4"
"","high","10.1","136.5","0.8","0.0","0.0","0.0","0.1","28.5"
"","low","10.1","136.5","0.8","0.0","0.0","0.0","0.1","28.5"
"Mack Hollins","NE","10.8","126.6","0.8","0.0","0.0","0.0","0.1","28.0"
"","high","10.8","126.6","0.8","0.0","0.0","0.0","0.1","28.1"
"","low","10.8","126.6","0.8","0.0","0.0","0.0","0.1","28.1"
"Brenen Thompson","LAC","9.5","121.7","0.7","2.1","11.3","0.1","0.1","27.5"
"","high","9.5","121.7","0.7","2.1","11.3","0.1","0.1","27.5"
"","low","9.5","121.7","0.7","2.1","11.3","0.1","0.1","27.5"
"Odell Beckham Jr.","NYG","9.2","113.2","0.6","0.0","0.0","0.0","0.1","24.0"
"","high","9.2","113.2","0.6","0.0","0.0","0.0","0.1","24.1"
"","low","9.2","113.2","0.6","0.0","0.0","0.0","0.1","24.1"
"Kyle Williams","NE","6.4","91.4","0.6","4.1","22.4","0.2","0.1","22.1"
"","high","6.4","91.4","0.6","4.1","22.4","0.2","0.1","22.6"
"","low","6.4","91.4","0.6","4.1","22.4","0.2","0.1","22.6"
"Tez Johnson","TB","6.7","77.5","0.6","4.4","23.2","0.2","0.1","21.4"
"","high","6.7","77.5","0.6","4.4","23.2","0.2","0.1","21.6"
"","low","6.7","77.5","0.6","4.4","23.2","0.2","0.1","21.6"
"Jimmy Horn Jr.","CAR","6.7","75.7","0.4","6.2","36.7","0.2","0.1","21.1"
"","high","6.7","75.7","0.4","6.2","36.7","0.2","0.1","21.2"
"","low","6.7","75.7","0.4","6.2","36.7","0.2","0.1","21.2"
"Jalen Royals","KC","6.8","78.2","0.6","0.0","0.0","0.0","0.1","18.3"
"","high","6.8","78.2","0.6","0.0","0.0","0.0","0.1","18.4"
"","low","6.8","78.2","0.6","0.0","0.0","0.0","0.1","18.4"
"KeAndre Lambert-Smith","LAC","6.4","80.6","0.6","0.0","0.0","0.0","0.1","17.8"
"","high","6.4","80.6","0.6","0.0","0.0","0.0","0.1","18.1"
"","low","6.4","80.6","0.6","0.0","0.0","0.0","0.1","18.1"
"Nick Westbrook-Ikhine","IND","6.1","76.6","0.6","0.0","0.0","0.0","0.1","17.2"
"","high","6.1","76.6","0.6","0.0","0.0","0.0","0.1","17.3"
"","low","6.1","76.6","0.6","0.0","0.0","0.0","0.1","17.3"
"Mason Tipton","NO","6.8","80.6","0.3","0.0","0.0","0.0","0.1","16.7"
"","high","6.8","80.6","0.3","0.0","0.0","0.0","0.1","17.4"
"","low","6.8","80.6","0.3","0.0","0.0","0.0","0.1","17.4"
"Dont'e Thornton Jr.","LV","6.0","83.0","0.3","0.0","0.0","0.0","0.1","16.0"
"","high","6.0","83.0","0.3","0.0","0.0","0.0","0.1","16.1"
"","low","6.0","83.0","0.3","0.0","0.0","0.0","0.1","16.1"
"Greg Dortch","DET","4.1","39.7","0.3","4.6","24.0","0.4","0.1","14.1"
"","high","4.1","39.7","0.3","4.6","24.0","0.4","0.1","16.0"
"","low","4.1","39.7","0.3","4.6","24.0","0.4","0.1","16.0"
"Barion Brown","NO","4.6","57.4","0.3","0.0","0.0","0.0","0.1","11.8"
"","high","4.6","57.4","0.3","0.0","0.0","0.0","0.1","13.2"
"","low","4.6","57.4","0.3","0.0","0.0","0.0","0.1","13.2"
"Bo Melton","GB","2.9","37.4","0.3","4.5","25.9","0.1","0.1","11.5"
"","high","2.9","37.4","0.3","4.5","25.9","0.1","0.1","11.7"
"","low","2.9","37.4","0.3","4.5","25.9","0.1","0.1","11.7"
"Tyrell Shavers","BUF","4.0","52.1","0.3","0.0","0.0","0.0","0.0","10.9"
"","high","4.0","52.1","0.3","0.0","0.0","0.0","0.0","11.0"
"","low","4.0","52.1","0.3","0.0","0.0","0.0","0.0","11.0"
"Derius Davis","LAC","3.5","38.1","0.3","2.1","11.0","0.1","0.1","10.3"
"","high","3.5","38.1","0.3","2.1","11.0","0.1","0.1","11.7"
"","low","3.5","38.1","0.3","2.1","11.0","0.1","0.1","11.7"
"Xavier Smith","LAR","3.6","44.4","0.3","0.0","0.0","0.0","0.0","9.9"
"","high","3.6","44.4","0.3","0.0","0.0","0.0","0.0","11.6"
"","low","3.6","44.4","0.3","0.0","0.0","0.0","0.0","11.6"
"Mitch Tinsley","CIN","3.3","41.8","0.4","0.0","0.0","0.0","0.0","9.7"
"","high","3.3","41.8","0.4","0.0","0.0","0.0","0.0","9.8"
"","low","3.3","41.8","0.4","0.0","0.0","0.0","0.0","9.8"
"CJ Daniels","LAR","3.4","42.8","0.3","0.0","0.0","0.0","0.0","9.6"
"","high","3.4","42.8","0.3","0.0","0.0","0.0","0.0","9.6"
"","low","3.4","42.8","0.3","0.0","0.0","0.0","0.0","9.6"
"Malachi Corley","CLE","1.7","16.5","0.1","6.4","44.0","0.2","0.1","9.1"
"","high","1.7","16.5","0.1","6.4","44.0","0.2","0.1","9.5"
"","low","1.7","16.5","0.1","6.4","44.0","0.2","0.1","9.5"
"Tai Felton","MIN","3.7","37.1","0.2","0.0","0.0","0.0","0.0","8.8"
"","high","3.7","37.1","0.2","0.0","0.0","0.0","0.0","9.0"
"","low","3.7","37.1","0.2","0.0","0.0","0.0","0.0","9.0"
"Justin Watson","HOU","3.1","41.6","0.2","0.0","0.0","0.0","0.0","8.6"
"","high","3.1","41.6","0.2","0.0","0.0","0.0","0.0","8.6"
"","low","3.1","41.6","0.2","0.0","0.0","0.0","0.0","8.6"
"Darius Cooper","PHI","3.3","37.7","0.3","0.0","0.0","0.0","0.0","8.5"
"","high","3.3","37.7","0.3","0.0","0.0","0.0","0.0","8.5"
"","low","3.3","37.7","0.3","0.0","0.0","0.0","0.0","8.5"
"Jonathan Mingo","DAL","2.9","40.6","0.3","0.0","0.0","0.0","0.0","8.4"
"","high","2.9","40.6","0.3","0.0","0.0","0.0","0.0","8.4"
"","low","2.9","40.6","0.3","0.0","0.0","0.0","0.0","8.4"
"Reggie Virgil","ARI","3.4","39.3","0.1","0.0","0.0","0.0","0.0","8.1"
"","high","3.4","39.3","0.1","0.0","0.0","0.0","0.0","8.1"
"","low","3.4","39.3","0.1","0.0","0.0","0.0","0.0","8.1"
"Brycen Tremayne","CAR","3.3","36.1","0.2","0.0","0.0","0.0","0.0","7.8"
"","high","3.3","36.1","0.2","0.0","0.0","0.0","0.0","8.0"
"","low","3.3","36.1","0.2","0.0","0.0","0.0","0.0","8.0"
"Ben Skowronek","PIT","1.8","17.0","0.1","0.0","0.0","0.0","0.0","3.9"
"","high","1.8","17.0","0.1","0.0","0.0","0.0","0.0","3.9"
"","low","1.8","17.0","0.1","0.0","0.0","0.0","0.0","3.9"
"Arian Smith","NYJ","0.0","0.0","0.0","4.4","23.7","0.2","0.0","3.5"
"","high","0.0","0.0","0.0","4.4","23.7","0.2","0.0","3.5"
"","low","0.0","0.0","0.0","4.4","23.7","0.2","0.0","3.5"
"Jalen Reagor","MIA","1.4","17.7","0.1","0.0","0.0","0.0","0.0","3.4"
"","high","1.4","17.7","0.1","0.0","0.0","0.0","0.0","3.4"
"","low","1.4","17.7","0.1","0.0","0.0","0.0","0.0","3.4"
"Kameron Johnson","TB","0.0","0.0","0.0","2.2","12.1","0.1","0.0","1.8"
"","high","0.0","0.0","0.0","2.2","12.1","0.1","0.0","3.6"
"","low","0.0","0.0","0.0","2.2","12.1","0.1","0.0","3.6"
"Kaden Wetjen","PIT","0.0","0.0","0.0","2.2","11.7","0.1","0.0","1.6"
"","high","0.0","0.0","0.0","2.2","11.7","0.1","0.0","4.1"
"","low","0.0","0.0","0.0","2.2","11.7","0.1","0.0","4.1"
"Laquon Treadwell","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Moore","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.5"
"Devin Duvernay","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Mason Kinsey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Michael Bandy","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Skyy Moore","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Britain Covey","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Dareke Young","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Jacob Cowing","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.1"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.1"
"Charlie Jones","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.5"
"Jalen Brooks","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Nikko Remigio","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4"
"Anthony Gould","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4"
"Jeshaun Jones","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Efton Chism III","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5"
"LaJohntay Wester","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.9"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.9"
"Ke'Shawn Williams","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"Myles Price","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"Gage Larvadain","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Josh Cameron","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3"
""
""
