player,team,position,player_key,projected_points,source_high_points,source_low_points,modeled_floor,modeled_ceiling,projection_range,position_rank,overall_projection_rank,fantasypros_points,modeled_average_fg_distance,historical_made_kicks,kicker_distance_source,expected_pa_bucket_points,fantasypros_roster_rank,fantasypros_position_rank,fantasypros_listed_points,fantasypros_injury_status,fantasypros_roster_pool,projected_starter_pool,projected_starter_role,starter_context_market_rank,custom_minus_fantasypros_listed_points
Jared Goff,DET,QB,jaredgoff,341.14,364.56,319.75,319.75,364.56,44.81,14,16,287.8,,,,0.0,61.0,14.0,341.0,,True,False,,,0.14
Bo Nix,DEN,QB,bonix,340.96,355.3,317.76,317.76,355.3,37.54,15,17,298.2,,,,0.0,62.0,15.0,341.0,,True,False,,,-0.04
Justin Herbert,LAC,QB,justinherbert,340.19,366.28,320.41,320.41,366.28,45.87,16,18,299.6,,,,0.0,63.0,16.0,340.0,,True,False,,,0.19
Baker Mayfield,TB,QB,bakermayfield,321.1,354.62,293.52,293.52,354.62,61.1,17,23,281.9,,,,0.0,96.0,17.0,321.0,,True,False,,,0.1
Tyler Shough,NO,QB,tylershough,319.55,343.14,295.02,295.02,343.14,48.12,18,25,286.7,,,,0.0,97.0,18.0,319.0,,True,False,,,0.55
Kyler Murray,MIN,QB,kylermurray,313.39,361.28,265.28,265.28,361.28,96.0,19,26,280.2,,,,0.0,104.0,19.0,313.0,,True,False,,,0.39
Jordan Love,GB,QB,jordanlove,310.74,336.89,286.78,286.78,336.89,50.11,20,27,267.7,,,,0.0,108.0,20.0,311.0,,True,False,,,-0.26
Daniel Jones,IND,QB,danieljones,310.12,371.92,266.82,266.82,371.92,105.1,21,29,274.6,,,,0.0,109.0,21.0,310.0,,True,False,,,0.12
Sam Darnold,SEA,QB,samdarnold,308.02,343.7,279.03,279.03,343.7,64.67,22,30,266.6,,,,0.0,120.0,22.0,308.0,,True,False,,,0.02
C.J. Stroud,HOU,QB,cjstroud,296.22,331.53,272.16,272.16,331.53,59.37,23,31,260.9,,,,0.0,143.0,23.0,297.0,,True,False,,,-0.78
Malik Willis,MIA,QB,malikwillis,295.1,368.81,231.99,231.99,368.81,136.82,24,32,271.5,,,,0.0,144.0,24.0,295.0,,True,False,,,0.1
Bryce Young,CAR,QB,bryceyoung,287.87,329.8,251.5,251.5,329.8,78.3,25,34,254.4,,,,0.0,,,,,False,False,,,
Geno Smith,NYJ,QB,genosmith,264.06,304.11,223.1,223.1,304.11,81.01,26,44,234.9,,,,0.0,,,,,False,False,,,
Cam Ward,TEN,QB,camward,261.85,303.5,220.08,220.08,303.5,83.42,27,45,232.4,,,,0.0,,,,,False,False,,,
Jacoby Brissett,ARI,QB,jacobybrissett,260.69,312.7,211.38,211.38,312.7,101.32,28,46,232.2,,,,0.0,,,,,False,False,,,
Aaron Rodgers,PIT,QB,aaronrodgers,257.24,284.87,220.08,220.08,284.87,64.79,29,49,223.5,,,,0.0,,,,,False,False,,,
Fernando Mendoza,LV,QB,fernandomendoza,213.02,247.66,179.62,179.62,247.66,68.04,30,76,192.9,,,,0.0,,,,,False,False,,,
Tua Tagovailoa,ATL,QB,tuatagovailoa,187.76,271.32,128.43,128.43,271.32,142.89,31,103,164.5,,,,0.0,,,,,False,False,,,
Deshaun Watson,CLE,QB,deshaunwatson,166.09,226.28,124.32,124.32,226.28,101.96,32,139,150.7,,,,0.0,,,,,False,False,,,
Shedeur Sanders,CLE,QB,shedeursanders,99.0,148.12,38.22,38.22,148.12,109.9,33,262,90.7,,,,0.0,,,,,False,False,,,
Michael Penix Jr.,ATL,QB,michaelpenix,94.27,141.46,36.16,36.16,141.46,105.3,34,270,83.5,,,,0.0,,,,,False,False,,,
Kirk Cousins,LV,QB,kirkcousins,53.28,65.46,40.38,40.38,65.46,25.08,35,335,47.2,,,,0.0,,,,,False,False,,,
Ty Simpson,LAR,QB,tysimpson,27.57,44.6,11.14,11.14,44.6,33.46,36,415,23.4,,,,0.0,,,,,False,False,,,
