Scorer,Assist1,Assist2
Clayton Keller,Alexander Kerfoot,
Clayton Keller,,
Clayton Keller,Nick Schmaltz,Barrett Hayton
Barrett Hayton,Mikhail Sergachev,Dylan Guenther
Barrett Hayton,Dylan Guenther,Clayton Keller
Barrett Hayton,Sean Durzi,Nick Schmaltz
Barrett Hayton,Mikhail Sergachev,Dylan Guenther
Barrett Hayton,Clayton Keller,Mikhail Sergachev
Barrett Hayton,Nick Schmaltz,Dylan Guenther
Barrett Hayton,Nick Schmaltz,Clayton Keller
Barrett Hayton,Michael Carcone,Sean Durzi
Barrett Hayton,John Marino,Clayton Keller
Barrett Hayton,Nick DeSimone,
Barrett Hayton,Nick DeSimone,
Barrett Hayton,Josh Doan,Kevin Stenlund
Barrett Hayton,Nick Bjugstad,Olli Määttä
Barrett Hayton,Nick Schmaltz,Clayton Keller
Barrett Hayton,Olli Määttä,Clayton Keller
Barrett Hayton,Nick Schmaltz,Ian Cole
Barrett Hayton,Nick Schmaltz,Dylan Guenther
Barrett Hayton,Clayton Keller,Nick Schmaltz
Barrett Hayton,Mikhail Sergachev,Clayton Keller
Barrett Hayton,Mikhail Sergachev,Nick Schmaltz
Dylan Guenther,Logan Cooley,Clayton Keller
Dylan Guenther,Clayton Keller,Logan Cooley
Dylan Guenther,Barrett Hayton,Michael Carcone
Dylan Guenther,Mikhail Sergachev,Clayton Keller
Dylan Guenther,Alexander Kerfoot,Michael Kesselring
Dylan Guenther,Clayton Keller,Barrett Hayton
Dylan Guenther,Nick Schmaltz,Clayton Keller
Dylan Guenther,Clayton Keller,Mikhail Sergachev
Dylan Guenther,Connor Ingram,
Dylan Guenther,Barrett Hayton,Mikhail Sergachev
Dylan Guenther,Mikhail Sergachev,Clayton Keller
Dylan Guenther,Jack McBain,Logan Cooley
Dylan Guenther,Mikhail Sergachev,Clayton Keller
Dylan Guenther,Clayton Keller,Logan Cooley
Dylan Guenther,Logan Cooley,Mikhail Sergachev
Dylan Guenther,Michael Kesselring,Ian Cole
Dylan Guenther,Nick Schmaltz,Logan Cooley
Dylan Guenther,Clayton Keller,Nick Schmaltz
Dylan Guenther,Nick Schmaltz,Clayton Keller
Dylan Guenther,Logan Cooley,Clayton Keller
Dylan Guenther,,
Dylan Guenther,Clayton Keller,
Dylan Guenther,Nick Schmaltz,Barrett Hayton
Dylan Guenther,Clayton Keller,Mikhail Sergachev
Dylan Guenther,Sean Durzi,Logan Cooley
Dylan Guenther,Michael Kesselring,Logan Cooley
Dylan Guenther,Logan Cooley,Sean Durzi
Sean Durzi,Logan Cooley,Jack McBain
Sean Durzi,Barrett Hayton,
Sean Durzi,Logan Cooley,Michael Carcone
Sean Durzi,Josh Doan,Olli Määttä
Josh Doan,Jack McBain,Logan Cooley
Josh Doan,Jack McBain,Nick DeSimone
Josh Doan,Jack McBain,Lawson Crouse
Josh Doan,Jack McBain,Connor Ingram
Josh Doan,Matias Maccelli,Michael Carcone
Josh Doan,Clayton Keller,Nick Schmaltz
Josh Doan,Alexander Kerfoot,Lawson Crouse
Nick DeSimone,Alexander Kerfoot,Kevin Stenlund
Lawson Crouse,,
Lawson Crouse,Josh Doan,Jack McBain
Lawson Crouse,Jack McBain,Josh Doan
Lawson Crouse,Josh Doan,Olli Määttä
Lawson Crouse,Josh Doan,Michael Kesselring
Lawson Crouse,Olli Määttä,
Lawson Crouse,Ian Cole,
Lawson Crouse,Nick Bjugstad,Olli Määttä
Lawson Crouse,Nick Bjugstad,Olli Määttä
Lawson Crouse,Matias Maccelli,Ian Cole
Lawson Crouse,Matias Maccelli,Logan Cooley
Lawson Crouse,Ian Cole,
Logan Cooley,Clayton Keller,
Logan Cooley,Olli Määttä,
Logan Cooley,Dylan Guenther,Clayton Keller
Logan Cooley,Clayton Keller,Dylan Guenther
Logan Cooley,Michael Kesselring,Nick Schmaltz
Logan Cooley,John Marino,Nick Schmaltz
Logan Cooley,Nick Schmaltz,Clayton Keller
Logan Cooley,Sean Durzi,Nick Schmaltz
Logan Cooley,Clayton Keller,Nick Schmaltz
Logan Cooley,John Marino,Clayton Keller
Logan Cooley,Barrett Hayton,
Logan Cooley,Clayton Keller,Juuso Välimäki
Logan Cooley,Clayton Keller,Nick Schmaltz
Logan Cooley,Clayton Keller,Nick Schmaltz
Logan Cooley,Clayton Keller,Mikhail Sergachev
Logan Cooley,Dylan Guenther,Clayton Keller
Logan Cooley,Clayton Keller,Nick Schmaltz
Logan Cooley,Clayton Keller,Mikhail Sergachev
Logan Cooley,Dylan Guenther,Clayton Keller
Logan Cooley,Olli Määttä,Mikhail Sergachev
Logan Cooley,Juuso Välimäki,Robert Bortuzzo
Logan Cooley,Dylan Guenther,Mikhail Sergachev
Logan Cooley,Matias Maccelli,Dylan Guenther
Logan Cooley,Nick Bjugstad,Jack McBain
Logan Cooley,Michael Kesselring,Dylan Guenther
Ian Cole,Logan Cooley,Clayton Keller
Michael Carcone,Michael Kesselring,Kevin Stenlund
Michael Carcone,Josh Doan,Jack McBain
Michael Carcone,Dylan Guenther,Nick DeSimone
Michael Carcone,John Marino,Nick Bjugstad
Michael Carcone,Kevin Stenlund,Alexander Kerfoot
Michael Carcone,Robert Bortuzzo,
Michael Carcone,Alexander Kerfoot,Michael Kesselring
Nick Bjugstad,Alexander Kerfoot,Kevin Stenlund
Nick Bjugstad,Alexander Kerfoot,
Nick Bjugstad,Kevin Stenlund,Olli Määttä
Nick Bjugstad,Michael Kesselring,Matias Maccelli
Nick Bjugstad,Michael Kesselring,Michael Carcone
Nick Bjugstad,Nick Schmaltz,Clayton Keller
Nick Bjugstad,,
Nick Bjugstad,Michael Kesselring,Clayton Keller
